100學年度上學期 學士班 院系人數統計															
									統計日期:2011年09月28日						
院 系 別	共 計			一年級		二年級		三年級		四年級		五年級		六年級	
	計	男	女	男	女	男	女	男	女	男	女	男	女	男	女
人文社會學院															
中國文學系	226	42	184	11	41	7	43	7	42	11	43	6	14	0	1
外國語文學系	256	40	216	8	42	4	44	9	58	16	61	3	10	0	1
人文社會學院學士班	279	93	186	29	57	19	55	19	34	17	34	7	5	2	1
本 院 合 計	761	175	586	48	140	30	142	35	134	44	138	16	29	2	3
科技管理學院															
經濟學系	479	188	291	49	54	50	75	39	77	40	75	8	5	2	5
計量財務金融學系	219	107	112	19	31	29	31	22	33	33	15	4	2	0	0
科技管理學院學士班	171	63	108	12	19	24	30	9	28	15	29	3	2	0	0
本 院 合 計	869	358	511	80	104	103	136	70	138	88	119	15	9	2	5
電機資訊學院															
資訊工程學系	551	435	116	85	38	110	23	109	31	107	19	20	3	4	2
電機工程學系	497	429	68	84	20	111	12	105	18	113	18	16	0	0	0
電機資訊學院學士班	90	74	16	18	6	20	3	19	4	17	3	0	0	0	0
本 院 合 計	1138	938	200	187	64	241	38	233	53	237	40	36	3	4	2
工學院															
化學工程學系	221	155	66	36	12	36	17	37	19	39	17	6	1	1	0
工業工程與工程管理學系	264	170	94	37	28	46	20	39	23	41	21	5	2	2	0
工學院學士班	79	60	19	20	9	22	5	13	4	5	1	0	0	0	0
材料科學工程學系	505	400	105	70	27	90	19	95	32	116	24	25	3	4	0
動力機械工程學系	439	402	37	101	6	92	11	93	11	99	8	14	1	3	0
本 院 合 計	1508	1187	321	264	82	286	72	277	89	300	71	50	7	10	0
生命科學院															
醫學科學系	29	14	15	5	11	9	4	0	0	0	0	0	0	0	0
生命科學系	248	148	100	33	24	40	22	33	23	36	29	5	2	1	0
生命科學院學士班	95	62	33	19	9	16	11	14	7	13	6	0	0	0	0
本 院 合 計	372	224	148	57	44	65	37	47	30	49	35	5	2	1	0
全校不分院															
大一不分系	27	15	12	15	12	0	0	0	0	0	0	0	0	0	0
本 院 合 計	27	15	12	15	12	0	0	0	0	0	0	0	0	0	0
原子科學院															
生醫工程與環境科學系	199	132	67	29	18	30	20	30	16	38	11	4	2	1	0
工程與系統科學系	425	317	108	84	25	77	25	66	24	75	31	14	2	1	1
原子科學院學士班	54	43	11	17	4	17	2	9	5	0	0	0	0	0	0
本 院 合 計	678	492	186	130	47	124	47	105	45	113	42	18	4	2	1
理學院															
化學系	266	171	95	42	22	48	19	36	29	41	25	2	0	2	0
數學系應用數學組	140	113	27	30	3	34	5	17	7	20	7	10	4	2	1
數學系純粹數學組	108	85	23	25	6	17	7	15	3	19	2	5	2	4	3
物理學系物理組	188	167	21	41	4	34	8	40	4	42	5	9	0	1	0
物理學系光電物理組	99	90	9	22	2	21	2	22	3	23	2	1	0	1	0
理學院學士班	139	106	33	25	6	26	10	21	8	26	8	8	1	0	0
本 院 合 計	940	732	208	185	43	180	51	151	54	171	49	35	7	10	4
全 校 總 計	6293	4121	2172	966	536	1029	523	918	543	1002	494	175	61	31	15
