101學年度上學期 學士班 院系人數統計															
	統計日期:2012年10月02日														
院 系 別	共 計			一年級		二年級		三年級		四年級		五年級		六年級	
	計	男	女	男	女	男	女	男	女	男	女	男	女	男	女
人文社會學院															
中國文學系	215	36	179	7	46	10	36	8	46	7	41	4	8	0	2
外國語文學系	241	39	202	8	43	10	44	5	45	9	57	7	13	0	0
人文社會學院學士班	298	105	193	32	54	27	45	21	54	19	32	5	6	1	2
本 院 合 計	754	180	574	47	143	47	125	34	145	35	130	16	27	1	4
科技管理學院															
經濟學系	484	195	289	46	62	48	67	52	76	38	76	8	7	3	1
計量財務金融學系	226	100	126	23	24	26	36	27	31	22	33	2	2	0	0
科技管理學院學士班	171	63	108	17	21	14	26	22	31	8	27	1	3	1	0
本 院 合 計	881	358	523	86	107	88	129	101	138	68	136	11	12	4	1
電機資訊學院															
資訊工程學系	559	439	120	107	22	95	41	108	25	110	30	15	2	4	0
電機工程學系	478	411	67	86	16	93	20	111	11	103	20	16	0	2	0
電機資訊學院學士班	93	77	16	18	3	19	6	19	3	20	4	1	0	0	0
本 院 合 計	1130	927	203	211	41	207	67	238	39	233	54	32	2	6	0
工學院															
化學工程學系	216	149	67	30	15	36	14	37	18	37	19	9	0	0	1
工業工程與工程管理學系	271	174	97	49	21	37	28	46	23	38	23	2	2	2	0
工學院學士班	94	68	26	20	9	15	10	17	3	13	4	3	0	0	0
材料科學工程學系	484	370	114	73	26	78	30	97	22	91	31	25	3	6	2
動力機械工程學系	448	413	35	101	4	108	7	90	12	93	11	17	1	4	0
本 院 合 計	1513	1174	339	273	75	274	89	287	78	272	88	56	6	12	3
生命科學院															
醫學科學系	45	18	27	6	7	3	14	9	6	0	0	0	0	0	0
生命科學系	244	146	98	30	26	35	27	40	22	31	22	8	1	2	0
生命科學院學士班	100	61	39	11	16	19	9	14	8	14	6	3	0	0	0
本 院 合 計	389	225	164	47	49	57	50	63	36	45	28	11	1	2	0
全校不分院															
大一不分系	37	19	18	19	18	0	0	0	0	0	0	0	0	0	0
本 院 合 計	37	19	18	19	18	0	0	0	0	0	0	0	0	0	0
原子科學院															
生醫工程與環境科學系	193	125	68	32	15	26	17	28	19	30	16	9	1	0	0
工程與系統科學系	419	324	95	86	19	88	24	74	25	62	24	12	2	2	1
原子科學院學士班	68	54	14	15	4	16	3	14	2	9	5	0	0	0	0
本 院 合 計	680	503	177	133	38	130	44	116	46	101	45	21	3	2	1
理學院															
化學系	276	190	86	50	12	50	24	45	20	36	29	8	1	1	0
數學系應用數學組	140	113	27	24	9	35	4	30	6	15	6	9	2	0	0
數學系純粹數學組	105	86	19	25	2	24	8	14	5	13	2	8	1	2	1
物理學系物理組	194	172	22	41	4	42	5	36	7	40	5	9	1	4	0
物理學系光電物理組	98	88	10	18	3	24	2	18	2	22	3	6	0	0	0
理學院學士班	128	99	29	23	5	25	6	24	9	21	8	5	1	1	0
本 院 合 計	941	748	193	181	35	200	49	167	49	147	53	45	6	8	1
全 校 總 計	6325	4134	2191	997	506	1003	553	1006	531	901	534	192	57	35	10
